,Course Alias,Course Name,Difficulty,Instructor Access,Interest Score,Readings Value,Work Required
1645,CHE-353,ADV CHE SCIENCE,2.85,3.62,2.92,2.15,2.92
1646,CHE-400,INTRO PROCESS DESIGN,2.91,3.26,2.26,2.78,3.65
1647,CHE-410,CHEMICAL ENGIN LAB,3.05,0.57,0.81,1.81,3.48
1648,CHE-451,CHEM REACTOR DESIGN,2.56,2.75,2.19,2.75,2.94
1649,CHE-479,BIOTECH & BIOCHEM,2.0,2.85,1.48,1.67,1.71
1650,BE-552,CELLULAR BIOENGINEERING,2.89,2.9,2.94,2.82,2.94
1651,MEAM-302,FLUID MECHANICS,3.05,3.13,2.58,2.55,2.82
1652,CHIN-002,1ST YR SPOKEN CHINESE II,2.17,3.44,3.43,3.4,1.68
1653,CHIN-004,2ND YR SPOKEN CHINESE II,2.25,3.67,3.74,3.62,1.73
1654,CHIN-012,BEGINNING MOD CHINESE II,2.44,3.56,3.55,3.37,1.98
1655,CHIN-032,BEG RDG/WRTG CHINESE II,2.21,3.42,3.52,3.53,1.32
1656,CHIN-052,BEGINNING TAIWANESE II,2.2,3.93,3.79,3.89,0.7
1657,CHIN-212,INTERMED MOD CHINESE II,2.78,3.67,3.72,3.53,1.98
1658,CHIN-361,NEWSPAPER CHINESE I,2.4,3.56,3.58,3.66,1.52
1659,CHIN-372,ADV SPOKEN MANDARIN II,2.0,3.87,3.84,3.51,1.36
1660,CHIN-412,RDGS MOD CHINESE II:LIT,2.33,3.59,3.65,3.64,1.43
1661,CHIN-510,TOPICS CHINESE CULTURE,2.71,3.71,3.43,3.29,2.5
1662,EALC-220,HISTORY OF CHINESE LANG: History of Chinese Language II,2.86,3.67,2.89,3.19,2.83
1663,EALC-222,1ST YR CLASSICAL CHIN II,2.93,3.39,3.58,3.62,2.28
1664,CHIN-011,BEGINNING MOD CHINESE I,2.61,3.48,3.56,3.36,2.08
1665,CHIN-031,BEG RDG/WRTG CHINESE I,2.17,3.28,3.54,3.47,1.46
1666,CHIN-111,BEGINNING CHINESE III,2.44,3.54,3.44,3.33,1.95
1667,CHIN-141,INTERMEDIATE CANTONESE I,2.0,3.58,3.52,3.5,1.02
1668,CHIN-211,INTERMED MOD CHINESE I,2.54,3.6,3.57,3.49,2.14
1669,CHIN-311,ADVANCED MOD CHINESE I,3.06,3.49,3.15,3.42,2.29
1670,CHIN-371,ADV SPOKEN MANDARIN I,1.85,3.85,3.84,3.56,1.23
1671,CHIN-381,BUSINESS CHINESE I,3.05,3.6,3.6,3.67,1.69
1672,CHIN-491,1ST YR CLASSICAL CHIN I,2.98,3.39,3.63,3.62,2.28
1673,CHIN-415,RDGS MODRN CHINESE DOCUM,2.62,3.61,3.48,3.71,3.01
1674,CHIN-515,TOPICS IN CHINESE LIT,2.51,3.39,3.26,3.48,2.52
1675,CHIN-081,BEGIN BUSINESS CHINESE,2.39,3.52,3.4,3.27,1.67
1676,CHIN-471,ADV SPOKEN MANDARIN III,2.42,3.6,3.56,3.36,1.28
1677,CHIN-251,ADVANCED TAIWANESE I,1.75,4.0,4.0,3.5,1.5
1678,CHIN-082,BEGIN BUSINESS CHINESEII,2.5,3.73,3.85,3.21,2.05
1679,CHIN-380,ADVANCED MEDICAL CHINESE,2.09,3.24,3.21,3.13,1.55
1680,CINE-009,WRITING SEMINAR IN CINE: PERSONAL FILM,1.98,3.5,3.17,2.58,2.29
1681,CINE-101,FILM HISTORY,1.88,3.14,2.92,2.44,1.91
1682,CINE-115,STUDY OF AN AUTHOR: ALFRED HITCHCOCK,1.8,3.5,3.07,3.29,1.94
1683,CINE-120,ROLE OF THE PRODUCER,2.0,3.36,3.86,3.43,2.21
1684,CINE-202,TOPICS IN FILM PRACTICE: POETS OF CINEMA,1.94,3.53,3.45,2.93,2.11
1685,AFRC-400,SEMINAR IN AFAMS: BLACKS IN AMER FILM/TV,2.36,2.96,3.67,3.13,2.27
1686,ARTH-290,Processes of Place-Making: Fostering Public Design,2.28,3.54,3.57,2.71,2.35
1687,ASAM-150,TOPICS IN ASIAN-AM STDS,2.21,3.4,3.02,2.84,2.43
1688,COMM-262,VISUAL COMMUNICATION,2.01,3.23,3.58,2.38,1.77
1689,EALC-257,CONTEMPOR FICT/FILM-JPAN: Contemporary Fiction & Film in Japan,2.4,3.47,3.4,3.39,2.74
1690,ENGL-092,READING FILM: Film and Literature: Reading Film,2.2,3.21,3.18,2.6,2.37
1691,ENGL-105,TOPICS IN LIT. & SOCIETY: COPYRIGHT AND CULTURE,2.46,3.26,3.31,3.38,2.88
1692,ENGL-116,SCREENWRITING WORKSHOP,2.14,3.32,3.55,2.95,2.42
1693,ENGL-130,ADVANCED SCREEN WRITING,2.08,3.19,3.75,3.45,2.63
1694,ENGL-292,DIRECTOR'S CINEMA,1.94,3.53,3.45,2.93,2.11
1695,ENGL-392,TOPICS FILM STUDIES: CINEMATIC TRAVEL,2.08,3.54,3.49,3.14,2.19
1696,FNAR-061,FILM/VIDEO I,2.18,3.27,3.05,2.33,2.88
1697,FNAR-062,FILM/VIDEO II,2.43,3.38,3.17,2.39,2.91
1698,FNAR-063,DOCUMENTARY VIDEO,2.54,3.59,3.17,2.68,2.99
1699,FNAR-065,CINEMA PRODUCTION,2.37,3.56,3.08,2.45,3.13
1700,FNAR-267,ADV DIG IMAG: ANIMATION,2.75,3.43,3.32,2.61,3.4
1701,FREN-230,MASTERPIECES OF FR CINEM,2.0,3.1,3.29,2.66,2.11
1702,GRMN-258,GERMAN CINEMA,2.22,3.21,2.62,2.75,2.49
1703,ITAL-080,INTRO. TO ITALIAN CINEMA,2.14,2.99,2.42,2.1,2.1
1704,ITAL-213,CONTEMP ITALY THRU FILM,2.38,3.71,3.28,2.99,2.71
1705,NELC-118,IRAN CINEMA:GEND/POL/REL,1.44,3.4,3.08,2.06,1.8
1706,RUSS-449,WINNRS/LOSRS IN LIT/FILM: WINNER/LOSERS FILM/LIT,2.65,3.94,3.69,3.5,2.13
1707,SPAN-285,INTRO TO SPANISH FILM,1.91,3.75,3.78,2.0,2.31
1708,THAR-275,ADV TPCS IN THEATRE,2.22,3.4,3.32,3.27,2.42
1709,CINE-160,20th-Cent British Lit: British Cinema - Penn-in-London,2.2,3.42,2.86,3.27,2.6
1710,COMM-140,INTRO FILMFORMCONTEXT,1.77,3.17,3.35,2.51,1.61
1711,ENGL-039,PENN-IN-CANNES: Perspective on Film: Survey of International Cinema,2.13,3.52,3.29,3.01,2.35
1712,ENGL-592,FILM THEORY,2.76,3.64,3.35,3.11,2.89
1713,RUSS-125,ADULTERY NOVEL,2.46,3.38,2.98,2.95,2.99
1714,CINE-201,TOPICS FILM HISTORY: CENSORSHIP-AMERICA FILM,2.08,3.56,3.19,2.72,2.32
1715,CINE-500,MLA SEMINARS IN CINEMA: FOOD AND FILM,2.85,3.32,3.08,3.26,2.85
1716,ANTH-160,MYTHOLOGY & THE MOVIES,2.06,2.91,2.71,1.94,2.52
1717,ARTH-210,Post War Japanese Cinema and Visual Culture,2.37,3.59,3.64,2.71,2.37
1718,ASAM-275,EAST/WEST STAGE & SCREEN: IMMIGR IN DRAMA & CINEMA,2.0,4.0,4.0,3.8,2.1
1719,EALC-225,TOPICS IN CHINESE CINEMA,2.2,3.24,2.7,2.68,2.25
1720,ENGL-016,TOPICS IN LITERATURE: The Ancients and Shakespeare on Justice and Happiness,2.23,3.3,3.01,2.65,2.32
1721,ENGL-078,TPCS IN THEATRE HISTORY,2.04,3.13,2.44,2.6,2.14
1722,ENGL-295,TOPICS CULTURAL STUDIES: Propaganda and Political Censorship in America Media,2.22,3.51,3.02,3.05,2.37
1723,FREN-301,FRENCH IDENTITY,2.21,3.03,2.35,2.64,2.48
1724,GRMN-001,LOOKING FOR LOLA: The Allure of a Cinematic Name,2.23,3.43,2.98,2.94,2.72
1725,ITAL-380,FICTION INTO FILM: Italian Encores: Fiction into Film,2.28,3.31,2.86,2.79,2.42
1726,NELC-159,MOD HEB LIT & CULT TRANS: Image of Childhood in Israeli Film and Literature,1.85,3.12,3.15,3.22,1.95
1727,RUSS-426,CHEKHOV STAGE & SCREEN,1.98,3.36,2.9,3.13,1.8
1728,SAST-213,INDIAN CINEMA & SOCIETY,2.24,2.77,2.56,2.46,2.74
1729,SAST-310,TPCS IN SA CINEMA: POSTCOLONIAL MEDIATIONS,2.58,2.79,2.42,2.71,2.88
1730,SPAN-287,INTRO-LATIN/AMER FILM: Mexican Film:  19th Century to the Present,1.9,3.57,3.57,2.5,2.58
1731,THAR-271,AMERICAN MUSICAL THEATRE,2.31,3.25,3.34,2.64,2.55
1732,CINE-102,FILM ANALYSIS & METHODS,2.2,3.21,3.18,2.6,2.37
1733,CINE-498,CINEMA STUDIES SEMINAR,2.87,3.56,3.08,2.86,3.24
1734,ANTH-336,ANTHROPOLOGY AND CINEMA: Anthropology and the Cinema,2.24,3.06,3.3,2.46,2.13
1735,ARTH-108,FILM HISTORY,1.88,3.14,2.92,2.44,1.91
1736,CLST-206,American & Italian Cinema - Visions of Rome,2.08,3.06,2.58,2.2,1.75
1737,COMM-430,COMMCLTRE&SEXL MINORIT,2.5,3.47,3.36,2.93,2.71
1738,EALC-055,MONSTERS OF JAPAN,1.52,3.39,3.17,2.71,2.06
1739,EALC-186,KOREAN FILM & CULTURE: SCREENING MODERN KOREA,2.12,3.08,2.54,2.46,2.23
1740,ENGL-034,CULTURES OF THE BOOK,2.0,3.38,3.19,2.76,2.29
1741,ENGL-091,INTRO TO CINEMA,1.88,3.14,2.92,2.44,1.91
1742,ENGL-102,MADNESS & LIT 19 & 20 C,2.28,3.21,3.08,3.32,2.7
1743,ENGL-286,TOPICS AMERICAN LIT: American War & Travel Literature:  Vietnam,2.43,3.46,3.07,3.13,2.69
1744,ENGL-569,DIGITAL CINEMA,2.75,3.14,2.89,2.81,3.03
1745,FREN-386,PARIS IN FILM,1.9,2.93,3.17,2.6,2.07
1746,GRMN-256,LECTURE,2.36,3.23,3.33,3.19,2.46
1747,HIST-347,GENDER HIST & AMER FILM,2.78,3.33,3.22,2.33,3.0
1748,ITAL-588,CINEMA & THE SISTER ARTS,2.2,3.4,2.46,2.85,2.52
1749,PRTG-240,BRAZILIAN MUSIC,2.01,3.48,3.32,3.0,2.29
1750,RELS-105,RELIGION AND FILM,2.92,2.52,2.51,2.7,2.89
1751,RUSS-165,RUSS & EAST EURO FILM,1.75,2.79,2.86,2.56,1.74
1752,RUSS-275,RUSSIAN HISTORY IN FILM,1.65,2.68,2.68,2.5,1.49
1753,RUSS-430,Nationalism and Ethnic Conflict in Film,1.83,2.89,2.86,2.78,1.69
1754,RUSS-432,FATE/CHANCE IN LIT&FILM,1.95,3.69,3.21,3.22,1.92
1755,SPAN-396,STUDIES IN SPAN AM CULT.: MONSTRUOS Y MAQUINAS,2.37,3.41,3.0,3.01,2.57
1756,CINE-150,TELEVISON STUDIES,2.28,2.84,2.81,2.28,2.49
1757,CINE-170,HISTORY OF ANIMATION,2.16,2.85,2.56,2.17,2.46
1758,CINE-180,FILM IN RESIDENCE: Film Culture in Residence,1.08,3.62,3.58,3.08,1.24
1759,CINE-285,ART AND BUSINESS OF FILM: Art & Business of Film: Creating Managing Exhibiting and Marketing Film,1.97,3.21,3.39,2.74,2.48
1760,CINE-296,TELEVISION AND MEDIA,2.38,3.17,2.71,2.5,2.52
1761,CINE-320,TOPICS IN ANIMATION,1.61,3.33,3.38,2.31,1.75
1762,CINE-392,TOPICS IN CINEMA STUDIES: Masters of European Cinema: Film Poetics,2.48,3.47,3.46,3.03,2.4
1763,ANTH-231,ANTHROPOLOGY AND CINEMA,2.24,2.37,2.07,1.47,2.6
1764,ARTH-107,INTRO TO FILM THEORY,2.04,3.13,2.44,2.6,2.14
1765,ARTH-301,UNDERGRADUATE SEMINAR: Court Artist in Renaissance Italy 1430-1530,2.71,3.51,3.21,3.08,2.82
1766,ARTH-593,Proseminar in Contemporary Film Theory,3.25,3.69,3.45,3.21,3.19
1767,COMM-241,Feature-Length Motion Picture Production Laboratory I,1.65,3.2,3.13,2.93,2.23
1768,EALC-125,CONTEMP CHINESE LIT/FILM,2.11,3.02,2.83,3.16,2.39
1769,ENGL-081,AFRICAN-AMERICAN LIT,2.44,3.08,3.02,3.44,2.62
1770,ENGL-085,MODRN AMER LIT POST-1945,2.43,3.29,3.47,3.46,2.67
1771,ENGL-251,TOPICS 19TH-C LITERATURE: ENDLESS POETRY,2.58,3.3,3.01,3.31,2.79
1772,ENGL-281,TPCS AFRICAN-AMER LIT: The Making of a Canon of 20th Century Afro-American Literature,2.72,3.18,3.15,3.29,2.91
1773,ENGL-282,TPCS EARLY AMER LIT: GOTHIC AMERICAS,2.3,3.4,2.91,2.7,2.44
1774,ENGL-291,TPCS FILM THEORY & CRIT: The Arcades Project as a Model for Film Studies,2.08,3.56,3.19,2.72,2.32
1775,ENGL-556,Victorian Fears and Our Own,2.69,3.52,3.32,3.43,3.2
1776,ENGL-566,TOPICS LITERATURE & LAW,2.7,3.7,3.51,3.42,2.77
1777,FNAR-064,INTERACTIVE VIDEO,2.67,4.0,3.67,3.67,3.0
1778,FNAR-066,SOUND SEM:SONIC MEASURES,2.54,2.62,2.83,2.48,2.65
1779,FNAR-068,CINEMATOGRAPHY,2.04,3.46,2.94,3.09,2.54
1780,FNAR-289,MIXED MEDIA ANIMATION,2.9,3.57,3.58,3.1,3.49
1781,FNAR-353,ADV. PROJECT ANIMATION,2.96,3.19,3.35,2.86,3.32
1782,ITAL-204,ITALIAN HIST ON SCREEN: How Movies Tell the Story of Italy (in English),1.8,3.15,2.88,2.16,2.38
1783,ITAL-585,PASOLINI AND CALVINO,3.67,3.83,3.17,3.17,3.83
1784,SPAN-386,STUDIES IN SPAN CULTURE: INTRO TO SPAN SCREENWRTG,2.32,3.53,3.2,2.94,2.48
1785,SPAN-390,INTRO SPAN AMER LIT: LITERATURA E HISTORIA,2.31,3.2,3.07,3.27,2.5
1786,CINE-039,Perspective on Film: Survey of International Cinema: Penn-in-Canne,2.13,3.52,3.29,3.01,2.35
1787,CINE-116,SCREENWRITING WORKSHOP,2.14,3.32,3.55,2.95,2.42
1788,ANTH-575,TOPICS IN ANTHROPOLOGY: INDIANS WITHOUT COWBOYS,3.33,4.0,4.0,3.83,3.5
1789,ENGL-061,20TH C BRITISH LIT,2.2,3.42,2.86,3.27,2.6
1790,ENGL-505,ELECTRONIC LIT SEMINAR: INTERNET POLICY,2.73,3.77,3.57,3.53,2.57
1791,NELC-119,MIDDLE EASTERN CINEMA: Law and Society,1.73,3.34,3.23,2.55,1.98
1792,CINE-290,CINEMA OF THE BALKANS,1.71,3.75,2.88,2.63,2.25
1793,CINE-292,STUDY ON AN AUTHOR: CHARLIE CHAPLIN,1.95,3.16,3.38,2.86,2.23
1794,ARTH-590,TOPIC IN CINEMA STUDIES: Women's Cinema/World Cinema: Aesthetics Politics and Institutions,3.17,3.54,3.58,3.5,3.04
1795,COMM-462,VIS COMM & SOCIAL ADVOC,1.41,3.65,3.72,3.62,2.02
1796,EALC-006,EAST ASIAN CINEMA,2.17,2.52,2.43,2.13,1.96
1797,FREN-231,CINEMA AFRICAIN FRANCOPH,2.17,3.65,3.62,3.28,2.45
1798,NELC-036,MIDEAST THRU MANY LENSES,2.16,3.39,3.63,3.1,2.33
1799,RUSS-164,RUSS FILM 1900-1945,1.5,2.71,2.82,2.91,1.45
1800,SPAN-528,MOD SP & HISP AM: SPANISH AND LAT AM CINE,3.08,3.51,3.47,3.15,3.37
1801,THAR-273,Dark Comedy in Theatre & Film:  Twists & Naughty Bits,2.01,3.13,2.98,2.94,2.41
1802,ARTH-291,THE ROAD MOVIE,2.45,3.65,3.13,2.81,2.52
1803,ENGL-272,TPCS ASIAN AMERICAN LIT: Chinatown Koreatown and Little Tokyo:  Ghettoes or Communities?,2.25,3.79,3.25,3.33,2.79
1804,GRMN-257,LECTURE,2.5,3.33,3.04,2.54,2.5
1805,ITAL-288,FS MOD ITALIAN CULTURE,2.18,3.38,3.03,2.83,2.68
1806,ITAL-581,20TH CENTURY ITAL POETRY,2.78,2.83,3.25,3.08,2.97
1807,MUSC-146,STUD IN AFRICAN-AM MUSIC,1.99,3.08,3.39,2.96,2.2
1808,PHIL-200,AEST & GEN PHIL I: PHILOSOPHY IN FILM,2.71,3.17,2.88,2.67,2.25
1809,STSC-378,GOING DIGITAL,2.5,4.0,3.67,3.33,2.5
1810,COMM-393,Chinese & US Perspectives on Intellectual Property Piracy & Creativity,2.6,3.3,3.14,2.95,2.75
1811,CINE-137,INTRO MUS/SOUND CINEMA: Introduction to Sound in Cinema,1.67,3.42,3.67,2.5,1.75
1812,ARTH-489,CINEMA AND PHOTOGRAPHY,2.08,3.54,3.49,3.14,2.19
1813,ASAM-109,IMAGES OF AS-AM IN MEDIA,1.8,2.96,3.49,2.58,2.35
1814,ENGL-103,THE SHORT STORY,2.27,3.02,2.88,2.96,2.51
1815,ENGL-104,THE TWENTIETH CENTURY,2.34,3.36,3.18,3.18,2.6
1816,ENGL-390,WOMEN AND MEMORY,2.54,3.68,3.62,3.54,2.65
1817,FNAR-067,ADVANCED VIDEO PROJECTS,2.5,3.5,3.42,2.83,3.0
1818,ITAL-100,TOPICS: FRESHMAN SEMINAR: PAINTERS AND POETS,2.13,3.3,2.94,3.18,2.28
1819,RUSS-470,Russian History in Animation,2.19,4.0,3.81,3.81,2.44
1820,SAST-212,TOPICS IN INDIAN FILM: GLOBAL FICTION AND FILM,1.98,3.36,3.26,2.8,2.08
1821,SPAN-223,PERSPECTIVES/SPANAM LIT: Giants Within Seeds: The Short Story in Latin America,2.42,3.57,3.37,2.84,2.65
1822,CINE-103,INTRO TO FILM THEORY,2.04,3.13,2.44,2.6,2.14
1823,CINE-501,TOPICS IN CINEMA STUDIES: CINEMA / SCIENCE,2.75,3.14,2.89,2.81,3.03
1824,EALC-234,Urban Culture in Chinese Literature and Film,2.49,3.44,2.44,3.0,2.94
1825,ITAL-300,ITAL HISTORY/ITAL FILM,2.11,3.44,3.06,2.46,2.06
1826,SPAN-388,TPCS: SPAN/LTAM CINEMA: The Great Illusion:  Over a Century of Spanish Cinema,2.2,3.07,3.31,2.08,2.7
1827,CINE-015,CINE - FRESHMAN SEMINAR: The Late Great Kate: Katharine Hepburn and an Authentic Life in Film,2.05,3.51,3.4,3.04,2.3
1828,CINE-016,TOPICS IN FILM AND LIT: Boy Meets Girl: Romantic Comedy in Hollywood and World Cinema,1.65,2.9,3.3,2.75,1.88
1829,CINE-287,INTRO-LATIN/AMER FILM: Borders and Urban Dystopias in Contemporary Mexican Cinema 1990-2010,1.9,3.57,3.57,2.5,2.58
1830,FREN-382,HORROR CINEMA,1.78,3.09,3.29,2.7,1.92
1831,PHIL-522,PHILOSOPHY AND FILM,2.5,3.33,3.17,3.17,2.67
1832,CINE-310,PLAYING GAMES W/ STORIES: Playing Games with Stories,2.24,3.52,3.1,3.1,2.33
1833,ENGL-436,SHAKESPEARE AND FILM,2.4,3.4,3.53,3.47,2.33
1834,ROML-296,LATIN AMERICAN FILM: Contemporary Latin American Film,2.57,3.69,3.13,3.32,2.34
1835,COML-127,ADULTERY NOVEL,2.46,3.38,2.98,2.95,2.99
1836,ENGL-051,19TH-CENT BRITISH LIT,2.26,3.52,3.28,3.42,2.59
1837,CINE-305,FILM AND THE CITY,1.84,3.04,2.25,2.71,1.88
1838,AFRC-287,STUDIO CONTEMP BLK WOMEN:  Studio in Contemporary Black Women Artists,2.0,3.82,3.91,3.18,2.45
1839,ARTH-100,INTRO TO ART: Art and Technology: 1830s-2000s,2.23,3.3,3.01,2.65,2.32
1840,ENGL-573,TPS IN CRITICISM & THEOR: Literture and History,2.87,3.66,3.38,3.33,3.1
1841,GRMN-261,JEWISH FILMS & LIT,1.82,3.15,2.6,3.17,2.26
1842,HEBR-359,SEM MODERN HEBREW LIT: Rebel Children: The Statehood Generation in Hebrew Literature,2.04,3.5,3.59,3.72,2.23
1843,ITAL-586,TOPICS IN ITAL CINEMA: ITALIAN WOMEN DIRECTORS,2.67,3.5,3.17,2.67,3.67
1844,CINE-130,ADVANCED SCREENWRITING,2.08,3.19,3.75,3.45,2.63
1845,CINE-294,LATIN AMERICAN FILM: Cinema of the Cuban Revolution,2.34,3.49,3.3,3.09,2.38
1846,CINE-315,GAME SPACE,2.5,3.58,3.33,3.17,2.25
1847,CINE-591,TPCS CONTEMPORARY THEORY: THEORIES OF CINEMATIC SPECTACLE,3.25,3.69,3.45,3.21,3.19
1848,ENGL-015,TOPICS IN LITERATURE: PreModern Women: From Runaway Bride to Mad Madge,2.05,3.51,3.4,3.04,2.3
1849,ENGL-101,SHAKESPEARE,2.35,3.38,3.28,3.56,2.51
1850,FNAR-075,IMAGE AND SOUND EDITING,2.91,3.43,3.63,2.85,3.52
1851,FREN-383,TOPICS IN FRENCH FILM: FRENCH ROAD MOVIES,1.94,3.65,3.06,3.18,2.24
1852,HIST-166,ARAB/ISR CON LIT & FILM,2.75,3.33,3.52,2.83,2.95
1853,MUSC-081,FILM SOUND & FILM MUSIC,2.14,2.99,3.46,3.06,2.04
1854,NELC-115,PERSIAN MYST THGT: RUMI,1.8,3.5,3.07,3.29,1.94
1855,SPAN-384,SPANISH NOVEL SINCE 1939: HISPANIC DETECTIVE NOVEL,2.21,3.17,2.79,3.16,2.24
1856,ENGL-124,DIGITAL POETRY,2.2,2.9,2.85,3.0,2.23
1857,SPAN-380,CONTEMP SPANISH LIT: Federico Garcia Lorca and his Contemporaries,2.5,3.34,2.97,2.82,2.55
1858,SPAN-397,HIST SPAN AMER CULTURE: Discourse of Latin American Liberalism,2.47,3.48,3.16,3.14,2.67
1859,ARTH-294,FACING AMERICA,2.94,2.99,3.6,2.96,2.94
1860,EALC-151,READING BASHO'S HAIKU,2.53,3.11,3.25,3.4,2.75
1861,ENGL-270,POETRY AND POETICS,2.34,3.49,3.3,3.09,2.38
1862,GSWS-322,TRANSGENDER QUERIES: Advanced Topics: Gender & Sexuality Studies,2.47,2.67,2.95,3.33,2.77
1863,COMM-240,HEALTH CARE & INTERNET,1.63,2.75,3.81,2.71,1.38
1864,FNAR-070,FILM SOUND: HISTORY AESTHETICS & SUBVERSION,2.14,2.99,3.46,3.06,2.04
1865,ENGL-074,CONTEMP AMERICAN LIT,2.47,3.37,3.26,3.36,2.69
1866,ENGL-263,TPCS 20TH-C AMERICAN LIT: BOOKENDING THE CENTURY,2.35,3.63,3.15,3.05,2.69
1867,CINE-295,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA,2.22,3.51,3.02,3.05,2.37
1868,ITAL-217,SURVEY OF ITAL THEATER,1.78,3.58,3.03,3.54,1.89
1869,RELS-208,NATIVE AMERICAN REL/LIT,2.3,3.4,2.91,2.7,2.44
1870,THAR-130,INTRO LIGHTSETCOSTUME,2.29,3.32,2.77,2.3,2.8
1871,ENGL-073,19TH-C LITS IN DIALOGUE,2.78,3.67,3.73,3.45,2.74
1872,ARTH-586,Photography and the Politics of Representation,2.85,3.32,3.08,3.26,2.85
1873,ENGL-572,Black Atlantic/Black Diaspora,2.54,3.55,3.5,3.83,2.7
1874,GRMN-244,METROPOLIS:CULTR OF CITY,2.4,3.04,2.84,2.81,2.7
1875,HIST-165,THE AMERICAN IDENTITY,1.89,2.83,2.89,2.3,1.69
1876,CIS-502,ANALYSIS OF ALGORITHMS,3.51,2.93,2.61,2.74,3.19
1877,CIS-511,THEORY OF COMPUTATION,3.26,3.27,2.89,2.71,3.05
1878,CIS-551,COMP & NETWORK SEC,2.56,2.69,2.66,2.55,2.57
1879,BIOL-536,COMPUTATIONAL BIOLOGY,2.98,3.12,2.48,2.63,2.53
1880,CSE-452,DATA MGMT/MOBILE COMPUT,2.67,4.0,3.17,3.67,2.83
1881,CIS-505,SOFTWARE SYSTEMS,2.4,2.6,2.11,2.27,2.71
1882,CIS-530,COMPUTATIONAL LINGUISTCS,2.27,2.91,2.59,2.61,2.29
1883,CIS-500,SOFTWARE FOUNDATIONS,3.13,3.37,2.86,2.87,3.2
1884,CIS-501,INTRO TO COMP ARCH,2.94,3.02,2.71,2.53,2.93
1885,CIS-520,INTRO ARTIFICIAL INTELL,3.37,3.07,2.69,2.53,3.49
1886,CIS-550,DATABASE & INFO SYSTEMS,2.63,2.94,2.64,2.55,2.78
1887,CIS-560,COMPUTER GRAPHICS,3.37,2.76,2.68,2.63,3.62
1888,CIS-570,PROG LANG IMPLEMENTATION,2.57,3.88,3.19,3.06,2.53
1889,CIS-580,MACHINE PERCEPTION,3.04,2.71,2.36,2.4,2.82
1890,BIOL-537,ADV. COMPUTATIONAL BIOL,2.86,3.4,3.21,3.33,2.96
1891,CSE-410,CURVES/SURF: THEORY&APP,2.58,3.79,3.13,2.88,2.42
1892,CSE-434,INTRO TO PARALLEL COMP,2.54,2.71,1.87,2.26,2.96
1893,CSE-462,COMPUTER ANIMATION,3.38,3.41,2.92,2.61,3.37
1894,CIS-573,SOFTWARE ENGINEERING,2.22,3.34,3.09,2.74,2.68
1895,CSE-455,INTERNET & WEB SYSTEMS,3.28,3.71,3.66,2.89,3.55
1896,CIS-537,BIOMED IMAGE ANALYSIS,3.13,2.84,2.82,2.17,3.06
1897,CIS-564,GAME DSGN & DEVELOPMENT,2.53,3.1,2.92,2.86,3.04
1898,PHIL-412,TOPICS IN LOGIC,3.21,4.0,3.18,3.5,2.58
1899,CSE-461,3D COMP MDL & ANM APPL,2.4,2.57,2.69,1.94,2.87
1900,CSE-482,LOGIC IN COMPUTER SCIENC,3.0,2.87,2.13,2.58,2.35
1901,CIS-110,INTRO TO COMP PROG,3.09,2.72,2.57,1.89,3.37
1902,CIS-120,PROG LANG & TECH I,3.04,2.79,2.48,2.37,3.42
1903,CIS-121,PROG LANG AND TECH II,3.22,2.73,2.15,2.07,3.37
1904,CIS-140,INTRO COGNITIVE SCIENCE,2.33,2.81,2.77,2.05,2.32
1905,CIS-240,INTRO TO COMP SYSTEMS,3.34,2.62,2.42,2.05,3.5
1906,CIS-261,DISCRETE PROB & STAT INT,2.9,3.42,3.64,3.25,2.19
1907,CIS-262,AUTOMATACOMPUT.& COMPLX,3.21,2.62,1.81,2.48,2.77
1908,CIS-330,DSG PRINCIPLE INFO SYST,2.61,2.85,2.09,2.1,2.8
1909,CIS-334,ADV TPCS IN ALGORITHMS,3.46,3.4,3.41,3.0,2.66
1910,CIS-350,SOFTWARE DESIGN/ENGINEER,2.01,3.18,3.0,2.46,2.62
1911,CIS-380,COMPUTER OPER SYSTEM,3.32,2.56,2.71,2.28,3.53
1912,CIS-390,ROBOTICS,2.73,3.05,2.75,2.15,3.0
1913,CIS-391,INTRO ARTIFICIAL INTELL,2.62,2.87,2.66,2.26,2.61
1914,CIS-400,SENIOR PROJECT,2.27,2.2,1.7,1.63,2.55
1915,CIS-462,COMPUTER ANIMATION,3.17,3.17,2.68,2.78,3.03
1916,CIS-477,MATH TECH IN NAT LNG PR,1.59,3.23,2.0,2.46,1.38
1917,CIS-521,FUNDAMENTALS OF AI,2.33,2.57,2.91,2.45,2.43
1918,CIS-553,NETWORKED SYSTEMS,2.62,2.59,2.5,2.43,2.65
1919,MEAM-105,INTRO SCIENTIFIC COMP,2.98,2.48,1.9,1.45,3.25
1920,CIS-112,NETWORKED LIFE,1.96,2.53,2.39,2.37,1.48
1921,CIS-125,TECHNOLOGY AND POLICY,1.8,2.68,3.03,2.53,1.83
1922,CIS-260,MATH FOUND COMP SCI,3.12,3.25,2.94,2.83,2.96
1923,CIS-277,INTRO TO COMP GRAPH TECH,3.5,2.68,2.5,2.14,3.79
1924,CIS-320,INTRO TO ALGORITHMS,3.61,3.05,3.01,2.68,3.2
1925,CIS-371,COMP ORG AND DESIGN LAB,3.29,2.91,2.56,2.03,3.2
